의료기관종별,의료기관명,의료기관주소(도로명),의료기관전화번호,데이터기준일자
의원,권용후비뇨기과의원,부산광역시 사하구 다대로 547 (다대동),051-266-1551,2025-02-11
의원,영진의원,"부산광역시 사하구 사하로 184-4, 2,3,4층 (괴정동)",051-293-6510,2025-02-11
의원,이일두내과의원,부산광역시 사하구 하신번영로 360 (하단동),051-204-0062,2025-02-11
의원,전형관외과의원,부산광역시 사하구 다대로 549 (다대동),051-263-1661,2025-02-11
의원,선명안과의원,부산광역시 사하구 낙동대로 245 (괴정동),051-207-1829,2025-02-11
의원,이광호성형외과의원,부산광역시 사하구 낙동대로 218 (괴정동),051-208-2888,2025-02-11
의원,박성기소아청소년과의원,"부산광역시 사하구 하신번영로 233, 227동 201~203호 (하단동, 가락타운2단지아파트상가)",051-291-1129,2025-02-11
의원,최경희내과의원,"부산광역시 사하구 다대로 271, 2층 (장림동)",051-265-9240,2025-02-11
의원,백천피부과의원,"부산광역시 사하구 낙동대로 212, 4층 (괴정동)",051-204-1204,2025-02-11
의원,정철호이비인후과의원,"부산광역시 사하구 다대로 549, 4층 (다대동)",051-265-6838,2025-02-11
의원,오일준이비인후과의원,"부산광역시 사하구 낙동대로 212, 3층 (괴정동)",051-202-7191,2025-02-11
의원,박기현이비인후과의원,부산광역시 사하구 낙동남로 1392 (하단동),051-205-8988,2025-02-11
의원,이태경피부과의원,"부산광역시 사하구 낙동대로 448, 6층 (당리동, 하단메디칼센타)",051-202-3272,2025-02-11
의원,박상희내과의원,부산광역시 사하구 다대로 555 (다대동),051-263-9869,2025-02-11
의원,감천의원,부산광역시 사하구 옥천로 37 (감천동),051-202-6124,2025-02-11
의원,추성의원,부산광역시 사하구 승학로 151-2 (괴정동),051-208-4338,2025-02-11
의원,손계학소아청소년과의원,부산광역시 사하구 낙동대로 325 (괴정동),051-208-7575,2025-02-11
의원,조경숙가정의학과소아청소년과의원,부산광역시 사하구 하신중앙로 300-1 (하단동),051-292-9156,2025-02-11
의원,장검현소아청소년과의원,부산광역시 사하구 장평로 445 (괴정동),051-206-9977,2025-02-11
의원,백승우안과의원,부산광역시 사하구 다대로 255 (장림동),051-264-0030,2025-02-11
의원,장림연세내과의원,부산광역시 사하구 장림번영로 43 (장림동),051-262-7575,2025-02-11
의원,이정윤성형외과의원,부산광역시 사하구 낙동대로 231 (괴정동),051-207-4590,2025-02-11
의원,하만철소아청소년과의원,부산광역시 사하구 다대로 559 (다대동),051-264-0090,2025-02-11
의원,이석용이비인후과의원,부산광역시 사하구 낙동대로 388 (당리동),051-207-3131,2025-02-11
의원,최원락내과의원,부산광역시 사하구 옥천로 5 (감천동),051-207-2700,2025-02-11
의원,시원한이비인후과의원,"부산광역시 사하구 낙동대로 448, 3층 (당리동, 하단메디칼센타)",051-202-3447,2025-02-11
의원,김종석소아청소년과의원,"부산광역시 사하구 다대로 437, 2층 (다대동)",051-261-9652,2025-02-11
의원,박치호의원,"부산광역시 사하구 낙동대로 447, 7층 (하단동)",051-203-2737,2025-02-11
의원,영인의원,부산광역시 사하구 다대로 133 (신평동),051-206-2060,2025-02-11
의원,이상주비뇨기과의원,"부산광역시 사하구 낙동대로 248, 6층 (괴정동, 우리메디칼센터)",051-205-5353,2025-02-11
의원,김준호정신건강의학과의원,부산광역시 사하구 낙동대로 214 (괴정동),051-292-6808,2025-02-11
의원,서화정형외과의원,부산광역시 사하구 낙동대로 252 (괴정동),051-206-1701,2025-02-11
의원,부산아이센터안과의원,"부산광역시 사하구 낙동대로 213, 2,3층 (괴정동)",051-203-3535,2025-02-11
의원,고려영상의학과의원,부산광역시 사하구 낙동대로 211 (괴정동),051-291-3013,2025-02-11
의원,(사)한국한센복지협회부산지부 부설복지의원,"부산광역시 사하구 다대로 263, 5층 501호 (장림동)",051-262-7511,2025-02-11
의원,최광웅내과의원,부산광역시 사하구 낙동대로 223 (괴정동),051-291-1232,2025-02-11
의원,이종달이비인후과의원,"부산광역시 사하구 낙동대로 214-1, 1층 (괴정동)",051-202-3466,2025-02-11
치과의원,센텀신세계치과의원,"부산광역시 사하구 다송로 2, 3층 (다대동)",051-265-0101,2025-02-11
치과의원,365효플란트치과의원,"부산광역시 사하구 낙동대로 466, 4층 (하단동)",051-976-2875,2025-02-11
치과의원,우리신평치과의원,"부산광역시 사하구 신산로 195, 2층 (신평동)",051-208-7528,2025-02-11
치과의원,닥터박치과의원,"부산광역시 사하구 사하로 184, 5층 (괴정동)",051-928-5000,2025-02-11
치과의원,독일미소치과의원,"부산광역시 사하구 다대로 247, 406호 (장림동)",051-263-2879,2025-02-11
치과의원,괴정수석치과의원,"부산광역시 사하구 낙동대로 230, 수민빌딩 3층 301호 (괴정동)",051-293-2875,2025-02-11
치과의원,오션치과의원,"부산광역시 사하구 다대로 544, 진요빌딩 101호 (다대동)",051-261-8808,2025-02-11
치과의원,한미치과의원,"부산광역시 사하구 낙동대로 413, 109,110호 (하단동)",051-711-2975,2025-02-11
치과의원,소중한이치과의원,"부산광역시 사하구 낙동남로 1389, 8층 (하단동)",051-203-2200,2025-02-11
치과의원,장림치과의원,"부산광역시 사하구 장림번영로 46, 2층 (장림동)",051-988-2080,2025-02-11
치과의원,하단케이플란트치과의원,"부산광역시 사하구 낙동대로 446, 5층 (당리동)",051-626-4949,2025-02-11
치과의원,남플란트치과의원,"부산광역시 사하구 하신번영로 376, 4층 (하단동)",051-208-2875,2025-02-11
치과의원,참부부치과의원,"부산광역시 사하구 낙동대로 213, 5층 (괴정동)",051-201-2833,2025-02-11
치과의원,드림치주과치과의원,"부산광역시 사하구 낙동대로 450, 4층 (당리동)",051-553-2875,2025-02-11
치과의원,다대튼튼치과의원,"부산광역시 사하구 다대로 698, 5층 (다대동)",051-715-2275,2025-02-11
치과의원,괴정아트치과의원,"부산광역시 사하구 사하로 189, 307,308호 (괴정동, 괴정어반푸르지오)",051-204-2801,2025-02-11
치과의원,부산치과의원,"부산광역시 사하구 장평로 298, 2층 (신평동)",051-201-1636,2025-02-11
치과의원,시온치과의원,"부산광역시 사하구 사하로 201, 4층 (괴정동)",051-203-2822,2025-02-11
치과의원,사하이편한치과의원,부산광역시 사하구 서포로30번길 9 (구평동),051-266-2877,2025-02-11
치과의원,서울미소치과의원,부산광역시 사하구 다대로 692 (다대동),051-263-2275,2025-02-11
치과의원,보성치과의원,"부산광역시 사하구 다대로 244, 4층 (장림동)",051-265-6500,2025-02-11
치과의원,더편한치과의원,"부산광역시 사하구 낙동대로 416, 3층 (당리동)",051-202-2842,2025-02-11
치과의원,행복한예일치과의원,"부산광역시 사하구 다송로 17, 2층 (다대동)",051-261-6100,2025-02-11
치과의원,예함치과의원,"부산광역시 사하구 다대로 576, 4층 (다대동)",051-265-4170,2025-02-11
치과의원,유디치과의원,"부산광역시 사하구 하신중앙로 336, 2층 (하단동)",051-203-1177,2025-02-11
치과의원,캘리포니아치과의원,"부산광역시 사하구 다대로429번길 5, 302호 (다대동)",051-265-2879,2025-02-11
치과의원,하단에이스치과의원,"부산광역시 사하구 낙동대로 457, 4층 (하단동)",051-207-7528,2025-02-11
치과의원,이좋은치과의원,"부산광역시 사하구 낙동남로 1396, 2층 (하단동)",051-207-2833,2025-02-11
치과의원,박왕봉치과의원,"부산광역시 사하구 다대로 246, 2층 (장림동)",051-266-3329,2025-02-11
치과의원,미엘치과의원,부산광역시 사하구 사하로 197 (괴정동),051-203-2275,2025-02-11
치과의원,삼성메디컬치과의원,"부산광역시 사하구 낙동남로 1392, 5층 (하단동)",051-711-2804,2025-02-11
치과의원,하단 턱편한 미소 치과의원,"부산광역시 사하구 낙동대로 442, 3층 (당리동)",051-206-2080,2025-02-11
치과의원,선치과의원,"부산광역시 사하구 낙동대로 440, 4층 (당리동, 향원빌딩)",051-207-2080,2025-02-11
치과의원,보건치과의원,"부산광역시 사하구 다대로 423, 6층 (다대동)",051-265-2825,2025-02-11
치과의원,온치과의원,"부산광역시 사하구 낙동대로 428, 5층 (당리동)",051-208-2275,2025-02-11
치과의원,봄치과의원,부산광역시 사하구 다대로 279 (장림동),051-266-2275,2025-02-11
치과의원,굿모닝치과의원,"부산광역시 사하구 낙동대로 452, 2층 (당리동)",051-201-3988,2025-02-11
치과의원,우리치과의원,"부산광역시 사하구 장림번영로 41, 4층 (장림동)",051-265-2875,2025-02-11
치과의원,동일치과의원,부산광역시 사하구 감천로 55 (감천동),051-201-2975,2025-02-11
치과의원,반도치과의원,"부산광역시 사하구 낙동대로 451, 3층 (하단동, 금동빌딩)",051-206-5000,2025-02-11
치과의원,예담치과의원,"부산광역시 사하구 낙동대로 211, 3층 (괴정동)",051-205-2275,2025-02-11
치과의원,골드치과의원,"부산광역시 사하구 낙동대로 212, 6층 (괴정동)",051-293-9710,2025-02-11
치과의원,하단어린이치과의원,"부산광역시 사하구 낙동남로 1414, 6층 (하단동, 삼영빌딩)",051-202-1275,2025-02-11
치과의원,강동미소치과의원,"부산광역시 사하구 다대로 145, 지하2층 (신평동, 강동병원)",051-203-3200,2025-02-11
치과의원,예본치과의원,"부산광역시 사하구 낙동남로 1400, 6층 602호 (하단동)",051-202-6275,2025-02-11
치과의원,하단강산치과의원,"부산광역시 사하구 낙동남로 1409, 4층 (하단동)",051-203-7528,2025-02-11
치과의원,이룸치과의원,"부산광역시 사하구 낙동대로 472, 401호 (하단동, 로타리산업빌딩)",051-205-2875,2025-02-11
치과의원,사단법인 온누리를 빛낼 사람들의 비젼센터 온누리치과의원,"부산광역시 사하구 윤공단로 144, 1층 (다대동)",051-262-7528,2025-02-11
치과의원,연부부치과의원,"부산광역시 사하구 다대낙조2길 100, 301,302호 (다대동, 롯데캐슬아파트주상가)",051-266-6565,2025-02-11
치과의원,명성치과의원,"부산광역시 사하구 장림번영로 40, 4층 (장림동, 장림동메디칼)",051-262-2882,2025-02-11
치과의원,행복한치과의원,"부산광역시 사하구 다대로277번길 6, 4층 (장림동)",051-266-2879,2025-02-11
치과의원,더스마일치과의원,"부산광역시 사하구 낙동대로 468, 3층 (하단동)",051-206-2275,2025-02-11
치과의원,박준치과의원,부산광역시 사하구 다대로 624 (다대동),051-266-2842,2025-02-11
치과의원,청아치과의원,"부산광역시 사하구 하신중앙로 184, 203호 (신평동)",051-292-9931,2025-02-11
치과의원,사하위드치과의원,"부산광역시 사하구 승학로 53, 2층 (당리동)",051-294-1754,2025-02-11
치과의원,UIC아름다운치과의원,"부산광역시 사하구 사하로 200, 502호 (괴정동)",051-202-2804,2025-02-11
치과의원,정다운치과의원,부산광역시 사하구 낙동대로 519 (하단동),051-204-1213,2025-02-11
치과의원,미시간치과의원,부산광역시 사하구 낙동대로 158 (괴정동),051-206-1750,2025-02-11
치과의원,하버드림치과의원,부산광역시 사하구 다대로 549 (다대동),051-202-1275,2025-02-11
치과의원,the 화이트e 치과의원,"부산광역시 사하구 낙동남로 1406, 4층 (하단동)",051-204-8375,2025-02-11
치과의원,수치과의원,"부산광역시 사하구 다대로 555, 3층 (다대동)",051-262-8221,2025-02-11
치과의원,김태규치과의원,"부산광역시 사하구 낙동대로 454, 5층 (당리동)",051-294-9400,2025-02-11
치과의원,최우석치과의원,부산광역시 사하구 하신중앙로 350 (하단동),051-202-2833,2025-02-11
치과의원,미소를만드는치과교정과치과의원,부산광역시 사하구 하신중앙로 350 (하단동),051-207-2842,2025-02-11
치과의원,탑치과의원,"부산광역시 사하구 다대로 550, 2층 (다대동, 해랑빌딩)",051-266-8275,2025-02-11
치과의원,이치과의원,"부산광역시 사하구 다대로 253, 2,3층 (장림동)",051-265-2639,2025-02-11
치과의원,현대치과의원,"부산광역시 사하구 다대로 473, 상가 1동 508,509호 (다대동, 다대포현대아파트)",051-265-2275,2025-02-11
치과의원,괴정제일치과의원,부산광역시 사하구 낙동대로 218 (괴정동),051-207-2250,2025-02-11
치과의원,이사랑치과의원,"부산광역시 사하구 낙동대로 444, 2층 (당리동)",051-294-8275,2025-02-11
치과의원,더좋은이동훈치과의원,"부산광역시 사하구 옥천로 1, 2층 (감천동)",051-206-2875,2025-02-11
치과의원,개구쟁이치과의원,"부산광역시 사하구 사하로 200, 5층 502호 (괴정동)",051-294-8828,2025-02-11
치과의원,최상룡치과의원,"부산광역시 사하구 감천로 119, 2층 (감천동)",051-204-2875,2025-02-11
치과의원,석치과의원,"부산광역시 사하구 다대낙조1길 12, 201호 (다대동, 대우아파트상가)",051-263-2560,2025-02-11
치과의원,세브란스치과의원,"부산광역시 사하구 사하로 195, 2층 (괴정동)",051-201-2875,2025-02-11
치과의원,양덕치과의원,부산광역시 사하구 다대로429번길 15 (다대동),051-264-5393,2025-02-11
치과의원,동남치과의원,"부산광역시 사하구 감천로 38, 101동 2층 (감천동, 감천현대아파트 상가)",051-202-1622,2025-02-11
치과의원,하단부부치과의원,"부산광역시 사하구 낙동남로 1417, 5층 (하단동)",051-202-1275,2025-02-11
치과의원,정재용치과의원,"부산광역시 사하구 다대로 263, 6층 (장림동)",051-265-7528,2025-02-11
치과의원,우석치과의원,"부산광역시 사하구 장림번영로 38-1, 4층 401호 (장림동)",051-263-7501,2025-02-11
치과의원,상아치과의원,부산광역시 사하구 낙동대로 325 (괴정동),051-201-2418,2025-02-11
치과의원,이상민치과의원,부산광역시 사하구 하신번영로 177 (신평동),051-207-4564,2025-02-11
치과의원,미치과의원,"부산광역시 사하구 제석로 54, 3층 (당리동)",051-202-2875,2025-02-11
치과의원,최은석치과의원,부산광역시 사하구 하신번영로201번길 1 (신평동),051-292-1380,2025-02-11
치과의원,미래로치과의원,"부산광역시 사하구 낙동대로 203, 2층 (괴정동)",051-204-9494,2025-02-11
치과의원,프랜드구철인부부치과의원,"부산광역시 사하구 사하로 141, 혜인빌딩 3,4층 (괴정동)",051-292-2875,2025-02-11
치과의원,김일태치과의원,부산광역시 사하구 하신번영로 201 (신평동),051-202-1229,2025-02-11
치과의원,유어스치과의원,"부산광역시 사하구 낙동대로 453, 4층 (하단동)",051-208-2098,2025-02-11
치과의원,참사랑치과의원,부산광역시 사하구 다대로 128 (신평동),051-204-6200,2025-02-11
치과의원,정재영치과의원,부산광역시 사하구 장림번영로 28 (장림동),051-264-6192,2025-02-11
치과의원,프라임치과의원,"부산광역시 사하구 하신중앙로 176, 3층 (신평동, 유니버셜상가)",051-207-3121,2025-02-11
치과의원,이동훈치과의원,부산광역시 사하구 낙동대로 161 (괴정동),051-207-3414,2025-02-11
치과의원,김기철치과의원,부산광역시 사하구 낙동대로 398 (당리동),051-202-1848,2025-02-11
치과의원,부부치과의원,"부산광역시 사하구 다대로 447, 6층 (다대동)",051-263-2875,2025-02-11
치과의원,홍시영치과의원,"부산광역시 사하구 낙동대로 248, 2층 (괴정동, 우리메디칼센터)",051-202-8575,2025-02-11
치과의원,윤치과의원,"부산광역시 사하구 신산로 197, 3층 (신평동)",051-206-4005,2025-02-11
치과의원,김기봉치과의원,부산광역시 사하구 낙동대로 491 (하단동),051-293-3180,2025-02-11
치과의원,다대치과의원,"부산광역시 사하구 다대로 556, 3층 (다대동, 한건빌딩)",051-263-3031,2025-02-11
치과의원,괴정우리들치과의원,"부산광역시 사하구 사하로 184, 2,3층 (괴정동)",051-204-1177,2025-02-11
치과의원,박경호치과의원,부산광역시 사하구 낙동대로 443 (하단동),051-203-2211,2025-02-11
치과의원,신철규치과의원,"부산광역시 사하구 다대로 437, 4층 (다대동)",051-263-2600,2025-02-11
치과의원,김명수치과의원,"부산광역시 사하구 낙동대로 447, 2층 (하단동)",051-204-3070,2025-02-11
치과의원,백치과의원,부산광역시 사하구 낙동대로 205 (괴정동),051-205-1828,2025-02-11
치과의원,전성업치과의원,부산광역시 사하구 장평로 299 (신평동),051-203-8965,2025-02-11
치과의원,조진호치과의원,"부산광역시 사하구 낙동대로 216, 4층 (괴정동)",051-205-4646,2025-02-11
치과의원,한겨레치과의원,"부산광역시 사하구 낙동대로 448, 7,9층 (당리동, 하단메디칼센타)",051-203-2119,2025-02-11
치과의원,정원기치과의원,부산광역시 사하구 낙동대로 236 (괴정동),051-292-4288,2025-02-11
한의원,춘해당한의원,"부산광역시 사하구 다대로 483, 현대빌딩 201호 (다대동)",051-262-1088,2025-02-11
한의원,다대동의한의원,"부산광역시 사하구 다대로 680, 4층 (다대동)",051-261-1075,2025-02-11
한의원,수림한의원,"부산광역시 사하구 다대낙조1길 15, 3층 (다대동)",051-262-0913,2025-02-11
한의원,광덕안정한의원,"부산광역시 사하구 낙동남로 1409, 정우엠타워 2,3층 (하단동)",051-791-0080,2025-02-11
한의원,경희하늘애한의원,"부산광역시 사하구 하신중앙로 350, 덕천빌딩 4층 (하단동)",051-291-0022,2025-02-11
한의원,소가담한의원,"부산광역시 사하구 승학로 45-1, 유원빌딩 2층 (당리동)",051-203-8575,2025-02-11
한의원,균형한의원,"부산광역시 사하구 사하로 197, 2층 (괴정동)",051-205-1075,2025-02-11
한의원,고든몸한의원,"부산광역시 사하구 낙동대로 450, 3층 301호,10층 (당리동)",051-201-1149,2025-02-11
한의원,사랑방한의원,"부산광역시 사하구 사하로198번길 2, 1층 (괴정동)",051-266-2690,2025-02-11
한의원,김민수한의원,"부산광역시 사하구 사하로166번길 3, 1,2,3층 (괴정동)",051-207-8275,2025-02-11
한의원,금강한의원,"부산광역시 사하구 장림로184번길 27, 1층 (장림동)",051-265-0456,2025-02-11
한의원,참벗한의원,"부산광역시 사하구 다대로 437, 3층 (다대동)",051-265-1077,2025-02-11
한의원,봄한의원,"부산광역시 사하구 사하로 199, 2층 (괴정동)",051-205-7582,2025-02-11
한의원,청담약손한의원,"부산광역시 사하구 낙동대로 211, 2층 (괴정동)",051-714-0756,2025-02-11
한의원,근본이화한의원,"부산광역시 사하구 낙동대로 432, 2층 (당리동)",051-293-1717,2025-02-11
한의원,의제한의원,"부산광역시 사하구 제석로 72, 1층 (당리동)",051-207-1818,2025-02-11
한의원,경희사랑채한의원,"부산광역시 사하구 하신중앙로 341, 1층 (하단동)",051-207-1075,2025-02-11
한의원,아마르한의원,"부산광역시 사하구 낙동대로 457, 5층 (하단동)",051-917-7111,2025-02-11
한의원,시원한의원,"부산광역시 사하구 낙동대로 392, 2층 (당리동)",051-293-7588,2025-02-11
한의원,대붕한의원,"부산광역시 사하구 윤공단로14번길 54, 2층 (다대동)",051-266-1075,2025-02-11
한의원,태흥당한의원,"부산광역시 사하구 낙동남로 1414, 삼영빌딩 2층 (하단동)",051-291-9188,2025-02-11
한의원,괴정바른한의원,"부산광역시 사하구 낙동대로 211-1, 2층 (괴정동)",051-911-1075,2025-02-11
한의원,자연드림한의원,부산광역시 사하구 장림번영로 41 (장림동),051-265-7588,2025-02-11
한의원,청담한의원,"부산광역시 사하구 다대로 556, 2층 (다대동)",051-264-0220,2025-02-11
한의원,유진한의원,"부산광역시 사하구 낙동대로 201, 2층 (괴정동)",051-201-1222,2025-02-11
한의원,호연한의원,"부산광역시 사하구 낙동남로 1417, 락희빌딩 7층 (하단동)",051-328-1275,2025-02-11
한의원,으뜸한의원,"부산광역시 사하구 다대로277번길 3, 2층 (장림동)",051-266-8787,2025-02-11
한의원,우성한의원,"부산광역시 사하구 장림번영로 47 (장림동,2층)",051-262-1212,2025-02-11
한의원,유림한의원,"부산광역시 사하구 낙동대로 410, 1층 일부 (당리동)",051-207-8575,2025-02-11
한의원,열린한의원,"부산광역시 사하구 다대로 551, 3층 (다대동, 대성빌딩)",051-265-1500,2025-02-11
한의원,한백한의원,"부산광역시 사하구 다대로 269 (장림동,2층)",051-265-5575,2025-02-11
한의원,소리청한의원,부산광역시 사하구 낙동대로 237 (괴정동),051-611-8057,2025-02-11
한의원,일심한의원,"부산광역시 사하구 낙동대로 472 (하단동,로타리산업빌딩402호)",051-208-0110,2025-02-11
한의원,용한의원,"부산광역시 사하구 낙동대로 440, 2층 (당리동, 향원빌딩)",051-291-7500,2025-02-11
한의원,캐슬미르한의원,부산광역시 사하구 다대낙조2길 100 (다대동),051-262-1075,2025-02-11
한의원,수한의원,"부산광역시 사하구 다대로554번길 10, 2층 (다대동)",051-262-0075,2025-02-11
한의원,김종성한의원,부산광역시 사하구 옥천로 3 (감천동),051-201-3355,2025-02-11
한의원,괴정동의한의원,"부산광역시 사하구 낙동대로 209, 2층 (괴정동)",051-205-9555,2025-02-11
한의원,경희홍익한의원,"부산광역시 사하구 다대로 698, 3층 (다대동)",051-262-0780,2025-02-11
한의원,신평한의원,부산광역시 사하구 장평로 303 (신평동),051-205-1010,2025-02-11
한의원,무정당한의원,"부산광역시 사하구 낙동대로 402, 2층 (당리동)",051-291-8475,2025-02-11
한의원,산솔한의원,부산광역시 사하구 낙동대로 301 (괴정동),051-294-2500,2025-02-11
한의원,내원한의원,부산광역시 사하구 하신번영로 376 (하단동),051-291-1134,2025-02-11
한의원,일성한의원,부산광역시 사하구 감천로 46 (감천동),051-293-8275,2025-02-11
한의원,민창한의원,부산광역시 사하구 사하로198번길 7 (괴정동),051-202-7512,2025-02-11
한의원,대티한의원,부산광역시 사하구 낙동대로 158 (괴정동),051-293-1201,2025-02-11
한의원,세명한의원,부산광역시 사하구 하신번영로 197-1 (신평동),051-207-5207,2025-02-11
한의원,손한의원,"부산광역시 사하구 하신중앙로 176, 3층 (신평동)",051-291-0055,2025-02-11
한의원,다정한의원,부산광역시 사하구 낙동대로 571 (하단동),051-206-7584,2025-02-11
한의원,양한의원,부산광역시 사하구 옥천로 38-1 (감천동),051-205-1282,2025-02-11
한의원,정담한의원,부산광역시 사하구 제석로 58 (당리동),051-206-2066,2025-02-11
한의원,소전경희한의원,부산광역시 사하구 다대로 244 (장림동),051-265-1024,2025-02-11
한의원,온기한의원,"부산광역시 사하구 낙동대로 453 (하단동,2층)",051-911-2288,2025-02-11
한의원,안국한의원,"부산광역시 사하구 하신번영로 405, 4층 401호 (하단동)",051-201-5999,2025-02-11
한의원,호림한의원,부산광역시 사하구 다대로130번길 15 (신평동),051-293-3006,2025-02-11
한의원,무진한의원,부산광역시 사하구 낙동대로249번길 41 (괴정동),051-207-1558,2025-02-11
한의원,보인한의원,"부산광역시 사하구 낙동대로 369 (당리동,2,5층)",051-202-4445,2025-02-11
한의원,사하한의원,부산광역시 사하구 괴정로 259 (괴정동),051-294-8300,2025-02-11
한의원,대추나무한의원,"부산광역시 사하구 낙동대로 260-1, 1층 (괴정동)",051-205-5339,2025-02-11
한의원,창신한의원,부산광역시 사하구 하신번영로 209 (하단동),051-203-5948,2025-02-11
한의원,길한의원,부산광역시 사하구 다송로 17 (다대동),051-266-0303,2025-02-11
한의원,당리한의원,부산광역시 사하구 제석로 54 (당리동),051-206-0600,2025-02-11
한의원,이혜진한의원,부산광역시 사하구 낙동대로 225 (괴정동),051-203-5444,2025-02-11
한의원,재남한의원,부산광역시 사하구 하신번영로 189 (신평동),051-291-7555,2025-02-11
한의원,소문한의원,"부산광역시 사하구 장림번영로 29, 1층 (장림동)",051-263-9776,2025-02-11
한의원,선하한의원,부산광역시 사하구 낙동대로 230 (괴정동),051-293-9675,2025-02-11
한의원,보람한의원,부산광역시 사하구 장림번영로 34 (장림동),051-261-3578,2025-02-11
한의원,성보한의원,부산광역시 사하구 낙동대로 172 (괴정동),051-205-0098,2025-02-11
한의원,명인한의원,부산광역시 사하구 하신번영로 183 (신평동),051-291-1075,2025-02-11
한의원,송부자한의원,부산광역시 사하구 낙동대로 275 (괴정동),051-203-9088,2025-02-11
한의원,큰다솜한의원,"부산광역시 사하구 괴정로 117 (당리동,대호상가아파트 102호)",051-208-4567,2025-02-11
한의원,백세동덕한의원,"부산광역시 사하구 하신중앙로 340, 2층 (하단동)",051-208-5888,2025-02-11
한의원,세화한의원,"부산광역시 사하구 다대로429번길 20, 상가1동 215호 (다대동, 삼환종합상가)",051-264-1221,2025-02-11
한의원,해인한의원,부산광역시 사하구 낙동대로 184 (괴정동),051-201-3232,2025-02-11
한의원,경인한의원,"부산광역시 사하구 다대로 401, 1,2층 (다대동)",051-261-1433,2025-02-11
한의원,이성우한의원,부산광역시 사하구 낙동대로 261 (괴정동),051-205-1546,2025-02-11
한의원,괴정한의원,"부산광역시 사하구 낙동대로 206, 2층 (괴정동)",051-205-4354,2025-02-11
한의원,인성한의원,부산광역시 사하구 낙동대로 445 (하단동),051-204-5775,2025-02-11
한의원,행림한의원,"부산광역시 사하구 낙동대로 309, 1~5층 (괴정동)",051-291-5050,2025-02-11
한의원,해강한의원,부산광역시 사하구 감천로 122 (감천동),051-291-9812,2025-02-11
